,,
1,The Declaration of Independence,
2,The King James Bible,
3,The Magna Carta,Anonymous
4,Apocolocyntosis,Lucius Seneca
5,The House on the Borderland,William Hope Hodgson
6,My First Years As A Frenchwoman· 1876-1879,Mary King Waddington
7,The Warriors,Lindsay· Anna Robertson Brown
8,A Voyage to the Moon,George Tucker
9,La Fiammetta,Giovanni Boccaccio
10,Carmilla,J. Sheridan LeFanu
11,The Mystery,Stewart Edward White and Samuel Hopkins Adams
12,Wild Northern Scenes,S. H. Hammond
13,Divine Comedy· Longfellow's Translation· Hell,Dante Alighieri
14,The Eulogies of Howard,William Hayley
15,365 Foreign Dishes,Unknown
16,The Mountains of California,John Muir
17,Punchinello· Vol. 1· No. 9· May 28· 1870,Various
18,Punchinello· Vol. 1· No. 18· July 30· 1870,Various
19,Punchinello· Vol. 1· No. 19· August 6· 1870,Various
20,Punchinello Vol. 1· No. 21· August 20· 1870,Various
21,Punchinello· Vol. 1· No. 23·  September 3· 1870,Various
22,Punchinello· Vol. 1· No. 5·  April 30· 1870,Various
23,Punchinello· Vol. 1· No. 22· August 27· 1870,Various
24,,
25,The Strand Magazine: Volume VII· Issue 37. January· 1894.,Edited by George Newnes
26,Tenterhooks,Ada Leverson
27,White Queen of the Cannibals: The Story of Mary Slessor,A. J. Bueltmann
28,There's Pippins And Cheese To Come,Charles S. Brooks
29,Beneath the Banner,F. J. Cross
30,Gaslight Sonatas,Fannie  Hurst
31,The Mirror of Literature· Amusement· and Instruction· Vol. 10·, Various
32,The Triple Alliance,Harold Avery
33,Spalding's Official Baseball Guide - 1913,
34,The Hunt Ball Mystery,Magnay· William
35,,
36,The Life of Hon. William F. Cody,William F. Cody
37,Edgar Allan Poe's Complete Poetical Works,Edgar Allan Poe
38,Punchinello· Vol. 1· No. 24· September 10· 1870,Various
39,Punchinello· Vol. 1· No. 25· September 17· 1870,Various
40,Punchinello· Vol. 1· No. 26· September 24· 1870,Various
41,Punchinello· Vol. 2· No. 27· October 1· 1870,Various
42,Punchinello Vol. 2· No. 28· October 8· 1870,Various
43,A Beautiful Possibility,Edith Ferguson Black
44,The Magnetic North,Elizabeth Robins (C. E. Raimond)
45,The Works of Aphra Behn· Vol. III,Aphra Behn
46,,
47,Alaska Indian Dictionary,Charles A. Lee
48,The Rivet in Grandfather's Neck,James Branch Cabell
49,The Child Under Eight,E.R. Murray and Henrietta Brown Smith
50,Klondyke Nuggets,Joseph Ladue
51,The Father of British Canada: A Chronicle of Carleton,William Wood
52,Dave Darrin's Second Year at Annapolis,H. Irving Hancock
53,Salute to Adventurers,John Buchan
54,Punchinello· Vol. 2· No. 29· October 15· 1870,Various
55,Billie Bradley and Her Inheritance,Janet D. Wheeler
56,Old Lady Mary,Margaret O. (Wilson) Oliphant
57,Hell,Dante Alighieri
58,A Little Pilgrim,Margaret O. (Wilson) Oliphant
59,The Little Pilgrim: Further Experiences.,Margaret O. (Wilson) Oliphant
60,The Open Door· and the Portrait.,Margaret O. (Wilson) Oliphant
61,Chinese Literature,Anonymous
62,The Secret of the Tower,Hope· Anthony
63,The Divine Office,Rev. E. J. Quigley
64,Aunt Jane's Nieces on Vacation,Edith Van Dyne
65,The Divine Comedy of Dante:  Purgatory,Dante Alighieri
66,Discourses,Thomas H. Huxley
67,The Iron Game,Henry Francis Keenan
68,Happiness and Marriage,Elizabeth (Jones) Towne
69,Beltane The Smith,Jeffery Farnol
70,The Constitution of the United States,James M. Beck
71,Gunman's Reckoning,Max Brand
72,The Mystery Of The Boule Cabinet,Burton Egbert Stevenson
73,The Power and the Glory,Grace MacGowan Cooke
74,Account of the Romansh Language,Joseph Planta· Esq. F. R. S.
75,The Divine Comedy of Dante:  Paradise,Dante Alighieri
76,Stories of Great Americans for Little Americans,Edward Eggleston
77,By-Ways of Bombay,S. M. Edwardes· C.V.O.
78,English Housewifery Exemplified,Elizabeth Moxon
79,The Century Vocabulary Builder,Creever & Bachelor
80,The Mirror of Literature· Amusement· and Instruction· Vol. 10·,Various
81,A Narrative of the Life and Adventures of Venture· a Native of,Venture Smith
82,Lister's Great Adventure,Harold Bindloss
83,The Atlantic Monthly· Volume 10· Number 60· October 1862,Various
84,Plain Words From America,Douglas W. Johnson
85,The Atlantic Monthly· Volume 2· Number 9· July· 1858,Various
86,,
87,Mobilizing Woman-Power,Harriot Stanton Blatch
88,The Boy Allies at Jutland,Robert L. Drake
89,The Hampstead Mystery,John R. Watson
90,The House of the Whispering Pines,Anna Katharine Green
91,Kazan,James Oliver Curwood
92,Moorish Literature,Anonymous
93,The Minute Boys of the Mohawk Valley,James Otis
94,Old Lady Number 31,Louise Forsslund
95,Thaumaturgia,An Oxonian
96,Elves and Heroes,Donald A. MacKenzie
97,Peaceless Europe,Francesco Saverio Nitti
98,Punchinello· Vol. II.· Issue 31· October 29· 1870,Various
99,Punchinello Vol. II.· No. 30·  October 22· 1870,Various
100,Gutta-Percha Willie,George MacDonald
101,A Soldier of Virginia ,Burton Egbert Stevenson
102,The Twilight of the Gods· and Other Tales,Richard Garnett
103,The Trojan women of Euripides,Euripides
104,The Healing of Nations and the Hidden Sources of Their Strife,Edward Carpenter
105,How Jerusalem Was Won,W.T. Massey
106,Towards The Goal,Mrs. Humphry Ward
107,Hacker Crackdown,Bruce Sterling
