
1,The Declaration of Independence,Jefferson· Thomas
2,The King James Bible,Unknown
3,The Magna Carta,Anonymous
4,Apocolocyntosis,Lucius Seneca
5,The House on the Borderland,William Hope Hodgson
6,My First Years As A Frenchwoman· 1876-1879,Mary King Waddington
7,The Warriors,Lindsay· Anna Robertson Brown
8,A Voyage to the Moon,George Tucker
9,La Fiammetta,Giovanni Boccaccio
10,Carmilla,J. Sheridan LeFanu
11,The Mystery,Stewart Edward White and Samuel Hopkins Adams
12,Wild Northern Scenes,S. H. Hammond
13,Divine Comedy· Longfellow's Translation· Hell,Dante Alighieri
14,The Eulogies of Howard,William Hayley
15,365 Foreign Dishes,Unknown
16,The Mountains of California,John Muir
17,Punchinello· Vol. 1· No. 9· May 28· 1870,Various
18,Punchinello· Vol. 1· No. 18· July 30· 1870,Various
19,Punchinello· Vol. 1· No. 19· August 6· 1870,Various
20,Punchinello Vol. 1· No. 21· August 20· 1870,Various
21,Punchinello· Vol. 1· No. 23·  September 3· 1870,Various
22,Punchinello· Vol. 1· No. 5·  April 30· 1870,Various
23,Punchinello· Vol. 1· No. 22· August 27· 1870,Various
24,Divine Comedy· Longfellow's Translation· Purgatory,Longfellow· Henry Wadsworth & Dante Alighieri
25,The Strand Magazine: Volume VII· Issue 37. January· 1894.,Edited by George Newnes
26,Tenterhooks,Ada Leverson
27,White Queen of the Cannibals: The Story of Mary Slessor,A. J. Bueltmann
28,There's Pippins And Cheese To Come,Charles S. Brooks
29,Beneath the Banner,F. J. Cross
30,Gaslight Sonatas,Fannie  Hurst
31,The Mirror of Literature· Amusement· and Instruction· Vol. 10·, Various
32,The Triple Alliance,Harold Avery
33,Spalding's Official Baseball Guide - 1913,Foster· John B. (John Buckingham)
34,The Hunt Ball Mystery,Magnay· William
35,Divine Comedy· Longfellow's Translation· Paradise,Longfellow· Henry Wadsworth & Dante Alighieri
36,The Life of Hon. William F. Cody,William F. Cody
37,Edgar Allan Poe's Complete Poetical Works,Edgar Allan Poe
38,Punchinello· Vol. 1· No. 24· September 10· 1870,Various
